1	2	2	2	1	2
2	3	2	2	1	2
3	4	2	2	1	2
4	5	2	2	1	2
5	6	2	2	1	2
6	7	2	2	1	2
7	8	2	2	1	2
8	9	2	2	1	2
9	10	2	2	1	2
10	11	2	2	1	2
11	12	2	2	1	2
12	13	2	2	1	2
13	14	2	2	1	2
14	15	2	2	1	2
15	16	2	2	1	2
16	17	2	2	1	2
17	18	2	2	1	2
18	19	2	2	1	2
19	20	2	2	1	2
20	21	2	2	1	2
21	22	2	2	1	2
22	23	2	2	1	2
23	24	2	2	1	2
24	25	2	2	1	2
25	26	2	2	1	2
26	27	2	2	1	2
27	28	2	2	1	2
28	29	2	2	1	2
29	30	2	2	1	2
30	31	2	2	1	2
31	32	2	2	1	2
32	33	2	2	1	2
33	34	2	2	1	2
34	35	2	2	1	2
35	36	2	2	1	2
36	37	2	2	1	2
37	38	2	2	1	2
38	39	2	2	1	2
39	40	2	2	1	2
40	41	2	2	1	2
41	42	2	2	1	2
42	43	2	2	1	2
43	44	2	2	1	2
44	45	2	2	1	2
45	46	2	2	1	2
46	47	2	2	1	2
47	48	2	2	1	2
48	49	2	2	1	2
49	50	2	2	1	2
50	51	2	2	1	2
51	52	2	2	1	2
52	53	2	2	1	2
53	54	2	2	1	2
54	55	2	2	1	2
55	56	2	2	1	2
56	57	2	2	1	2
57	58	2	2	1	2
58	59	2	2	1	2
59	60	2	2	1	2
60	61	2	2	1	2
61	62	2	2	1	2
62	63	2	2	1	2
63	64	2	2	1	2
64	65	2	2	1	2
65	66	2	2	1	2
66	67	2	2	1	2
67	68	2	2	1	2
68	69	2	2	1	2
69	70	2	2	1	2
70	71	2	2	1	2
71	72	2	2	1	2
72	73	2	2	1	2
73	74	2	2	1	2
74	75	2	2	1	2
75	76	2	2	1	2
76	77	2	2	1	2
77	78	2	2	1	2
78	79	2	2	1	2
79	80	2	2	1	2
80	81	2	2	1	2
81	82	2	2	1	2
82	83	2	2	1	2
83	84	2	2	1	2
84	85	2	2	1	2
85	86	2	2	1	2
86	87	2	2	1	2
87	88	2	2	1	2
88	89	2	2	1	2
89	90	2	2	1	2
90	91	2	2	1	2
91	92	2	2	1	2
1	2	24	20	1	2
2	3	20	20	1	2
3	4	20	20	1	2
4	5	20	20	1	2
5	6	20	20	1	2
6	7	20	20	1	2
7	8	20	20	1	2
8	9	20	20	1	2
9	10	20	20	1	2
10	11	20	20	1	2
11	12	20	21	1	2
12	13	21	21	1	2
13	14	21	21	1	2
14	15	21	25	1	2
15	16	25	25	1	2
16	17	25	27	1	2
17	18	27	27	1	2
18	19	27	23	1	2
19	20	23	23	1	2
20	21	23	23	1	2
21	22	23	22	1	2
22	23	22	22	1	2
23	24	22	24	1	2
24	25	24	24	1	2
25	26	24	23	1	2
26	27	23	23	1	2
27	28	23	23	1	2
28	29	23	23	1	2
29	30	23	23	1	2
30	31	23	28	1	2
31	32	28	28	1	2
32	33	28	28	1	2
33	34	28	28	1	2
34	35	28	28	1	2
35	36	28	24	1	2
36	37	24	24	1	2
37	38	24	22	1	2
